"stop_id","stop_code","stop_name","geometry"
"APDR","APD","Appledore (Kent) Rail Station",c(0.81634, 51.03324)
"APERLYB","APY","Apperley Bridge Rail Station",c(-1.70583, 53.84175)
"APLYBDG","APB","Appley Bridge Rail Station",c(-2.71925, 53.57867)
"APPLEFD","APF","Appleford Rail Station",c(-1.24214, 51.63964)
"APSLEY","APS","Apsley Rail Station",c(-0.46293, 51.73252)
"ARBROTH","ARB","Arbroath Rail Station",c(-2.58893, 56.55957)
"ARCHRAT","ART","Arrochar & Tarbet Rail Station",c(-4.72303, 56.20324)
"ARDGAY","ARD","Ardgay Rail Station",c(-4.36209, 57.88145)
"ARDLUI","AUI","Ardlui Rail Station",c(-4.72166, 56.30197)
"ARDRSHB","ADS","Ardrossan Harbour Rail Station",c(-4.82111, 55.63987)
"ARDRSSB","ASB","Ardrossan South Beach Rail Station",c(-4.80121, 55.64141)
"ARDRSTN","ADN","Ardrossan Town Rail Station",c(-4.81268, 55.6397)
"ARDWICK","ADK","Ardwick Rail Station",c(-2.21388, 53.47134)
"ARGYLST","AGS","Argyle Street Rail Station",c(-4.25061, 55.85761)
"ARISAIG","ARG","Arisaig Rail Station",c(-5.83908, 56.91254)
"ARKW","ARW","ARKLOW",c(-6.15992, 52.79388)
"ARLSEY","ARL","Arlesey Rail Station",c(-0.26632, 52.02603)
"ARMADLE","ARA","ARMADALE (SKYE)",c(-5.89411, 57.0619)
"ARMDALE","ARM","Armadale (W Lothian) Rail Station",c(-3.69541, 55.88571)
"ARMTHWT","AWT","Armathwaite Rail Station",c(-2.77207, 54.80946)
"ARNSIDE","ARN","Arnside Rail Station",c(-2.82824, 54.20273)
"ARRAM","ARR","Arram Rail Station",c(-0.42657, 53.88434)
"ARUNDEL","ARU","Arundel Rail Station",c(-0.54617, 50.84821)
"ASCOT","ACT","Ascot Rail Station",c(-0.67583, 51.40624)
"ASCTUWD","AUW","Ascott-under-Wychwood Rail Station",c(-1.56405, 51.86734)
"ASFDMSX","AFS","Ashford (Surrey) Rail Station",c(-0.46807, 51.43651)
"ASFIELD","ASF","Ashfield Rail Station",c(-4.24921, 55.88892)
"ASHBRYS","ABY","Ashburys Rail Station",c(-2.19444, 53.47164)
"ASHCHRC","ASC","Ashchurch for Tewkesbury Rail Station",c(-2.10876, 51.9989)
"ASHD","AHD","Ashtead Rail Station",c(-0.30757, 51.31787)
"ASHFKI","ASI","ASHFORD INTERNATIONAL",c(0.87508, 51.1446)
"ASHFKY","AFK","Ashford International Rail Station",c(0.87484, 51.14329)
"ASHH","ASH","Ash Rail Station",c(-0.71281, 51.2496)
"ASHLEY","ASY","Ashley Rail Station",c(-2.34146, 53.35572)
"ASHONUL","AHN","Ashton-under-Lyne Rail Station",c(-2.09431, 53.49127)
"ASHUBUS","ABF","ASHURST BALD FACE STAG P.H",c(0.15232, 51.12956)
"ASHURST","AHS","Ashurst (Kent) Rail Station",c(0.15265, 51.12866)
"ASHVALE","AHV","Ash Vale Rail Station",c(-0.72165, 51.27225)
"ASHWELC","AWM","Ashwell & Morden Rail Station",c(-0.10979, 52.03077)
"ASKAM","ASK","Askam Rail Station",c(-3.20451, 54.18893)
"ASLCKTN","ALK","Aslockton Rail Station",c(-0.8981, 52.95155)
"ASPLEYG","APG","Aspley Guise Rail Station",c(-0.63233, 52.02124)
"ASPTRIA","ASP","Aspatria Rail Station",c(-3.33187, 54.75895)
"ASTON","AST","Aston Rail Station",c(-1.87193, 52.50423)
"ATADALE","ATT","Attadale Rail Station",c(-5.45558, 57.39504)
"ATHERTN","ATN","Atherton Rail Station",c(-2.47897, 53.52914)
"ATHRSTN","ATH","Atherstone Rail Station",c(-1.55281, 52.57897)
"ATNBRO","ATB","Attenborough Rail Station",c(-1.23142, 52.90621)
"ATTLBON","ATL","Attleborough Rail Station",c(1.02235, 52.51455)
"AUDLEYE","AUD","Audley End Rail Station",c(0.20716, 52.00444)
"AVEBRED","XAF","AVEBURY RED LION",c(-1.85324, 51.42801)
"AVIEMRE","AVM","Aviemore Rail Station",c(-3.82887, 57.18851)
"AVNCLFF","AVF","Avoncliff Rail Station",c(-2.28133, 51.33965)
"AVONMTH","AVN","Avonmouth Rail Station",c(-2.69947, 51.50036)
"AXMNSTR","AXM","Axminster Rail Station",c(-3.00472, 50.77927)
"AXMNSTS","AXM","AXMINSTER STATION",c(-3.00557, 50.77904)
"AYLESFD","AYL","Aylesford Rail Station",c(0.46617, 51.30132)
"AYLSBRY","AYS","Aylesbury Rail Station",c(-0.8151, 51.81389)
"AYLSPWY","AVP","Aylesbury Vale Parkway Rail Station",c(-0.86018, 51.83116)
"AYRR","AYR","Ayr Rail Station",c(-4.62588, 55.45814)
"BACHE","BAC","Bache Rail Station",c(-2.89167, 53.20878)
"BAGE","BNA","Burnage Rail Station",c(-2.21568, 53.42117)
"BAGSHOT","BAG","Bagshot Rail Station",c(-0.68866, 51.36437)
"BAILDON","BLD","Baildon Rail Station",c(-1.75364, 53.85022)
"BALCOMB","BAB","Balcombe Rail Station",c(-0.13693, 51.05552)
"BALDOCK","BDK","Baldock Rail Station",c(-0.18756, 51.99287)
"BALHAM","BAL","Balham Rail Station",c(-0.15242, 51.44322)
"BALISTN","BIO","Baillieston Rail Station",c(-4.1137, 55.8445)
"BALLOCH","BHC","Balloch Rail Station",c(-4.58331, 56.0025)
"BALMOSS","BSI","Balmossie Rail Station",c(-2.83896, 56.47456)
"BAMFORD","BAM","Bamford Rail Station",c(-1.68908, 53.339)
"BANAVIE","BNV","Banavie Rail Station",c(-5.09543, 56.84331)
"BANGOR","BNG","Bangor (Gwynedd) Rail Station",c(-4.13588, 53.22228)
"BANSBUS","BAD","BANSTEAD (FIRTREE ROAD)",c(-0.2144, 51.32998)
"BANSTED","BAD","Banstead Rail Station",c(-0.21316, 51.32935)
"BARASIE","BSS","Barassie Rail Station",c(-4.65114, 55.56106)
"BARELA","BAR","Bare Lane Rail Station",c(-2.83533, 54.07454)
"BARGOED","BGD","Bargoed Rail Station",c(-3.22966, 51.69256)
"BARKING","BKG","Barking Rail Station",c(0.0809, 51.53949)
"BARLSOP","BPL","BARLASTON ORCHARD PLACE",c(-2.1681, 52.94223)
"BARLSTN","BRT","Barlaston Rail Station",c(-2.16811, 52.94287)
"BARMING","BMG","Barming Rail Station",c(0.47896, 51.28489)
"BARNES","BNS","Barnes Rail Station",c(-0.24216, 51.46708)
"BAROW","BIF","Barrow-in-Furness Rail Station",c(-3.22612, 54.119)
"BAROWOS","BWS","Barrow upon Soar Rail Station",c(-1.14484, 52.74933)
"BARRY","BRY","Barry Rail Station",c(-3.28498, 51.39678)
"BARRYDK","BYD","Barry Docks Rail Station",c(-3.2607, 51.40244)
"BARRYIS","BYI","Barry Island Rail Station",c(-3.27336, 51.39241)
"BARWHVN","BAV","Barrow Haven Rail Station",c(-0.39296, 53.69742)
"BASILDN","BSO","Basildon Rail Station",c(0.45679, 51.5681)
"BATABAL","BBL","Bat & Ball Rail Station",c(0.19423, 51.28976)
"BATHBUS","XDO","BATH BUS STATION",c(-2.35877, 51.37778)
"BATHSPA","BTH","Bath Spa Rail Station",c(-2.35702, 51.37768)
"BATLEY","BTL","Batley Rail Station",c(-1.62295, 53.70994)
"BATRSPK","BAK","Battersea Park Rail Station",c(-0.14753, 51.47696)
"BATTLE","BAT","Battle Rail Station",c(0.4947, 50.91291)
"BAYFORD","BAY","Bayford Rail Station",c(-0.09561, 51.75771)
"BCHGRV","BCG","Birchgrove Rail Station",c(-3.20185, 51.52155)
"BCKNBUS","BKJ","BECKENHAM JN (UP SIDE-BUS)",c(-0.02518, 51.41046)
"BCKNHMH","BEC","Beckenham Hill Rail Station",c(-0.01595, 51.42458)
"BCKNHMJ","BKJ","Beckenham Junction Rail Station",c(-0.02581, 51.41103)
"BCKNMJC","BKJ","Beckenham Junction Rail Station",c(-0.02602, 51.41117)
"BCKWATR","BAW","Blackwater Rail Station",c(-0.77674, 51.33158)
"BCKY","BCK","Buckley Rail Station",c(-3.05538, 53.16252)
"BCNGNOS","BCH","Birchington-on-Sea Rail Station",c(1.30141, 51.37749)
"BCNSFLD","BCF","Beaconsfield Rail Station",c(-0.64382, 51.61129)
"BCSTN","BCS","Bicester North Rail Station",c(-1.15038, 51.90348)
"BCSTRTN","BIT","Bicester Village Rail Station",c(-1.14876, 51.89302)
"BCWD","BWO","Bricket Wood Rail Station",c(-0.35911, 51.70543)
"BDHMNRD","BDH","BEDHAMPTON NEW ROAD",c(-0.99698, 50.8537)
"BDHMPTN","BDH","Bedhampton Rail Station",c(-0.99583, 50.85396)
"BDICK","BDC","BRODICK",c(-5.13939, 55.57738)
"BDMNSTR","BMT","Bedminster Rail Station",c(-2.59415, 51.44009)
"BDSTON","BID","Bidston Rail Station",c(-3.07856, 53.40913)
"BEARLEY","BER","Bearley Rail Station",c(-1.75026, 52.24441)
"BEASDAL","BSL","Beasdale Rail Station",c(-5.7638, 56.89955)
"BEAULY","BEL","Beauly Rail Station",c(-4.46987, 57.47828)
"BEBNGTN","BEB","Bebington Rail Station",c(-3.00363, 53.35765)
"BECCLES","BCC","Beccles Rail Station",c(1.56949, 52.45852)
"BEDFDM","BDM","Bedford Rail Station",c(-0.47944, 52.13619)
"BEDFDN","BDM","BEDFORD NORTH JN.",c(-0.47891, 52.13758)
"BEDWRTH","BEH","Bedworth Rail Station",c(-1.46739, 52.4793)
"BEDYN","BDW","Bedwyn Rail Station",c(-1.59879, 51.37964)
"BEKSBRN","BKS","Bekesbourne Rail Station",c(1.13671, 51.26136)
"BELFBUS","BFB","BELFORD BUS",c(-1.83017, 55.5986)
"BELM","BLM","Belmont Rail Station",c(-0.19886, 51.34381)
"BELNGHM","BGM","Bellingham Rail Station",c(-0.01933, 51.43291)
"BELPER","BLP","Belper Rail Station",c(-1.48251, 53.02376)
"BELVEDR","BVD","Belvedere Rail Station",c(0.15229, 51.49212)
"BEMPTON","BEM","Bempton Rail Station",c(-0.18046, 54.12766)
"BENFLET","BEF","Benfleet Rail Station",c(0.56171, 51.54394)
"BEREALS","BAS","Bere Alston Rail Station",c(-4.20035, 50.48559)
"BEREFRS","BFE","Bere Ferrers Rail Station",c(-4.18143, 50.45128)
"BERKHMD","BKM","Berkhamsted Rail Station",c(-0.56201, 51.76313)
"BERMPRK","BEP","Bermuda Park Rail Station",c(-1.47218, 52.50143)
"BERRYB","BBW","Berry Brow Rail Station",c(-1.79343, 53.62104)
"BERWICK","BRK","Berwick (Sussex) Rail Station",c(0.16602, 50.84038)
"BESCRLA","BES","Bescar Lane Rail Station",c(-2.91461, 53.62385)
"BESJOHN","BSJ","Bedford St Johns Rail Station",c(-0.4675, 52.12948)
"BESTON","BEE","Beeston Rail Station",c(-1.20766, 52.92075)
"BETSYCD","BYC","Betws-y-Coed Rail Station",c(-3.80086, 53.09206)
"BEVERLY","BEV","Beverley Rail Station",c(-0.42298, 53.84227)
"BEXHILL","BEX","Bexhill Rail Station",c(0.47702, 50.84104)
"BEXLEY","BXY","Bexley Rail Station",c(0.1479, 51.44022)
"BGLAN","BAJ","Baglan Rail Station",c(-3.80939, 51.61427)
"BGOALAN","BEA","Bridge of Allan Rail Station",c(-3.95723, 56.15663)
"BGRN","BTG","Barnt Green Rail Station",c(-1.99247, 52.36109)
"BHAMINT","BHI","Birmingham International Rail Station",c(-1.72586, 52.45081)
"BHAMJEW","JEQ","Jewellery Quarter Rail Station",c(-1.91321, 52.48943)
"BHAMMRS","BMO","Birmingham Moor Street Rail Station",c(-1.89247, 52.47908)
"BHAMNEC","XNE","BIRMINGHAM INT'L BUS STN",c(-1.72627, 52.45094)
"BHAMNWS","BHM","Birmingham New Street Rail Station",c(-1.90021, 52.47782)
"BHAMSNH","BSW","Birmingham Snow Hill Rail Station",c(-1.89909, 52.48335)
"BHILLPK","BHK","Bush Hill Park Rail Station",c(-0.06922, 51.64152)
"BICKLEY","BKL","Bickley Rail Station",c(0.04524, 51.4001)
"BIGLSWD","BIW","Biggleswade Rail Station",c(-0.26119, 52.08468)
"BILBROK","BBK","Bilbrook Rail Station",c(-2.18609, 52.62372)
"BILERCY","BIC","Billericay Rail Station",c(0.41863, 51.62888)
"BILSHST","BIG","Billingshurst Rail Station",c(-0.4503, 51.0152)
"BINGHAM","BIN","Bingham Rail Station",c(-0.95154, 52.95419)
"BIRCHWD","BWD","Birchwood Rail Station",c(-2.52531, 53.41272)
"BIRKBCK","BIK","Birkbeck Rail Station",c(-0.05574, 51.40389)
"BISHPTN","BPT","Bishopton Rail Station",c(-4.50049, 55.90226)
"BISLND","BTS","Burntisland Rail Station",c(-3.2332, 56.05708)
"BITERNE","BTE","Bitterne Rail Station",c(-1.377, 50.91822)
"BKDLE","BDL","Birkdale Rail Station",c(-3.01445, 53.63405)
"BKHLS","BHS","Brockholes Rail Station",c(-1.76969, 53.59697)
"BKNELL","BUK","Bucknell Rail Station",c(-2.94738, 52.35738)
"BKNHRST","BCU","Brockenhurst Rail Station",c(-1.57353, 50.81684)
"BKSWELL","BKW","Berkswell Rail Station",c(-1.6423, 52.39627)
"BLAENAU","BFF","Blaenau Ffestiniog Rail Station",c(-3.93859, 52.99455)
"BLAIRHL","BAI","Blairhill Rail Station",c(-4.04329, 55.86645)
"BLAKEDN","BKD","Blakedown Rail Station",c(-2.17687, 52.4064)
"BLANTYR","BLT","Blantyre Rail Station",c(-4.08697, 55.79732)
"BLARATH","BLA","Blair Atholl Rail Station",c(-3.85023, 56.76554)
"BLAYDON","BLO","Blaydon Rail Station",c(-1.71258, 54.96579)
"BLCHSRD","BHO","Blackhorse Road Rail Station",c(-0.04124, 51.5866)
"BLCKPB","BPB","Blackpool Pleasure Beach Rail Station",c(-3.05388, 53.78795)
"BLCKPLN","BPN","Blackpool North Rail Station",c(-3.04927, 53.82191)
"BLCKS","BPS","Blackpool South Rail Station",c(-3.04894, 53.7987)
"BLEASBY","BSB","Bleasby Rail Station",c(-0.94369, 53.04136)
"BLENHEM","BHP","BLENHEIM PALACE",c(-1.35983, 51.84266)
"BLFR","BFR","London Blackfriars Rail Station",c(-0.10333, 51.51181)
"BLFSTCL","BFC","BELFAST CENTRAL",c(-5.91715, 54.59502)
"BLFSTPT","BFA","BELFAST PORT",c(-5.89047, 54.629)
"BLGRVE","BLG","Bellgrove Rail Station",c(-4.22437, 55.8567)
"BLIEURD","BEU","Beaulieu Road Rail Station",c(-1.50475, 50.85505)
"BLKB","BBN","Blackburn Rail Station",c(-2.47912, 53.74651)
"BLKHTH","BKH","Blackheath Rail Station",c(0.00887, 51.46579)
"BLKRDGE","BKR","Blackridge Rail Station",c(-3.7508, 55.88425)
"BLKST","BKT","Blake Street Rail Station",c(-1.84491, 52.60488)
"BLLVUE","BLV","Belle Vue Rail Station",c(-2.18051, 53.46237)
"BLNDLAC","BLN","Blundellsands & Crosby Rail Station",c(-3.03986, 53.48768)
"BLNGHM","BIL","Billingham Rail Station",c(-1.27972, 54.6056)
"BLOXN","BWN","Bloxwich North Rail Station",c(-2.01768, 52.62543)
"BLOXWCH","BLX","Bloxwich Rail Station",c(-2.01148, 52.6182)
"BLRD","BLK","Blackrod Rail Station",c(-2.56952, 53.59152)
"BLSHL","BLH","Bellshill Rail Station",c(-4.0245, 55.81706)
"BLTCHLY","BLY","Bletchley Rail Station",c(-0.73632, 51.99533)
"BLTNODR","BTD","Bolton-Upon-Dearne Rail Station",c(-1.31155, 53.51894)
"BLTRNAB","BEG","Beltring Rail Station",c(0.4035, 51.20471)
"BLYBDGE","BYB","Blythe Bridge Rail Station",c(-2.06696, 52.96814)
"BMBRBDG","BMB","Bamber Bridge Rail Station",c(-2.66077, 53.72686)
"BMHL","BML","Bramhall Rail Station",c(-2.16359, 53.36061)
"BMLY","BMY","Bramley (Hants) Rail Station",c(-1.061, 51.33029)
"BNBR","BAN","Banbury Rail Station",c(-1.32813, 52.06031)
"BNDON","BND","Brandon Rail Station",c(0.62473, 52.45401)
"BNGY","BIY","Bingley Rail Station",c(-1.83732, 53.84861)
"BNHAM","BNM","Burnham (Berks) Rail Station",c(-0.64637, 51.5235)
"BNHL","BNL","Barnhill Rail Station",c(-4.223, 55.87749)
"BNKHALL","BAH","Bank Hall Rail Station",c(-2.98751, 53.43749)
"BNRHYDN","BEY","Ben Rhydding Rail Station",c(-1.79743, 53.92571)
"BNSBDGE","BNI","Barnes Bridge Rail Station",c(-0.25263, 51.47201)
"BNSD","BUD","Burneside (Cumbria) Rail Station",c(-2.76668, 54.35498)
"BNSLY","BNY","Barnsley Rail Station",c(-1.47716, 53.5543)
"BNTBY","BTB","Barnetby Rail Station",c(-0.40968, 53.57512)
"BNTEY","BTY","Bentley (Hants) Rail Station",c(-0.86813, 51.18123)
"BNTFORD","BFD","Brentford Rail Station",c(-0.30965, 51.48755)
"BNTHAM","BEN","Bentham Rail Station",c(-2.51068, 54.11552)
"BNWDJN","GCR","BARNWOOD JN.",c(-2.23835, 51.86561)
"BNWK","BRW","Brunswick Rail Station",c(-2.97608, 53.38324)
"BODMNMF","BDF","BODMIN MOUNT FOLLY",c(-4.72062, 50.46199)
"BODMNPW","BOD","Bodmin Parkway Rail Station",c(-4.66293, 50.44586)
"BODMTSB","BDF","BODMIN TSB BUS STOP",c(-4.71854, 50.46988)
"BODORGN","BOR","Bodorgan Rail Station",c(-4.418, 53.2043)
"BOGNORR","BOG","Bognor Regis Rail Station",c(-0.67618, 50.78656)
"BOGSTON","BGS","Bogston Rail Station",c(-4.7114, 55.93704)
"BOLTON","BON","Bolton Rail Station",c(-2.42582, 53.57414)
"BOMO","BMH","Bournemouth Rail Station",c(-1.8645, 50.72727)
"BOMOHAP","BHA","BOURNEMOUTH HURN AIRPORT",c(-1.832, 50.77862)
"BOOKHAM","BKA","Bookham Rail Station",c(-0.38402, 51.28874)
"BOORCHY","BRO","Bridge of Orchy Rail Station",c(-4.76411, 56.51621)
"BOOTLE","BOC","Bootle (Cumbria) Rail Station",c(-3.39386, 54.2913)
"BOOTLNS","BNW","Bootle New Strand Rail Station",c(-2.99475, 53.45339)
"BOOTLOR","BOT","Bootle Oriel Road Rail Station",c(-2.99573, 53.44662)
"BORNEND","BNE","Bourne End Rail Station",c(-0.71047, 51.57712)
"BORTH","BRH","Borth Rail Station",c(-4.05018, 52.49103)
"BORWGAW","BRG","Borough Green & Wrotham Rail Station",c(0.30625, 51.29322)
"BOSHAM","BOH","Bosham Rail Station",c(-0.84743, 50.84275)
"BOSTON","BSN","Boston Rail Station",c(-0.031, 52.97809)
"BOTESFD","BTF","Bottesford Rail Station",c(-0.79484, 52.94461)
"BOTLEY","BOE","Botley Rail Station",c(-1.25924, 50.91645)
"BOURNVL","BRV","Bournville Rail Station",c(-1.92642, 52.42696)
"BOWBRKH","BWB","Bow Brickhill Rail Station",c(-0.69608, 52.0043)
"BOWESPK","BOP","Bowes Park Rail Station",c(-0.12058, 51.60701)
"BOWKERV","BKV","BOWKER VALE",c(-2.25035, 53.5243)
"BOWLING","BWG","Bowling Rail Station",c(-4.49384, 55.93108)
"BOXHAWH","BXW","Box Hill & Westhumble Rail Station",c(-0.32849, 51.25401)
"BOXHBUS","BXX","BOXHILL BURFORD BDGE HOTEL",c(-0.32338, 51.25425)
"BRACKNL","BCE","Bracknell Rail Station",c(-0.7517, 51.41309)
"BRADFS","BDQ","Bradford Forster Square Rail Station",c(-1.75296, 53.79692)
"BRADIN","BDI","Bradford Interchange Rail Station",c(-1.7496, 53.79107)
"BRAINFP","BTP","Braintree Freeport Rail Station",c(0.56843, 51.86941)
"BRAINTR","BTR","Braintree Rail Station",c(0.55669, 51.87539)
"BRAMPTN","BRP","Brampton (Suffolk) Rail Station",c(1.54381, 52.39543)
"BRANKSM","BSM","Branksome Rail Station",c(-1.91976, 50.72696)
"BRAY","BZY","BRAY",c(-6.10007, 53.20351)
"BRBM","BDB","Broadbottom Rail Station",c(-2.01652, 53.44097)
"BRBY","BSY","Brondesbury Rail Station",c(-0.20231, 51.54516)
"BRBYPK","BSP","Brondesbury Park Rail Station",c(-0.21013, 51.5407)
"BRDFDOA","BOA","Bradford-on-Avon Rail Station",c(-2.25233, 51.34491)
"BRDGWTR","BWT","Bridgwater Rail Station",c(-2.99041, 51.12785)
"BRDING","BDN","Brading Rail Station",c(-1.13872, 50.67837)
"BRDLNGT","BDT","Bridlington Rail Station",c(-0.19872, 54.08413)
"BRDNML","BLL","Bardon Mill Rail Station",c(-2.3465, 54.97449)
"BRDS","BBS","Bordesley Rail Station",c(-1.87777, 52.47187)
"BREDBRY","BDY","Bredbury Rail Station",c(-2.11049, 53.42315)
"BREICH","BRC","Breich Rail Station",c(-3.66813, 55.82731)
"BRFRY","BYF","Broughty Ferry Rail Station",c(-2.87315, 56.46716)
"BRFT","BMF","Broomfleet Rail Station",c(-0.67183, 53.74021)
"BRGDDIE","BGI","Bargeddie Rail Station",c(-4.07381, 55.85129)
"BRGEND","BGN","Bridgend Rail Station",c(-3.57528, 51.50697)
"BRGG","BGG","Brigg Rail Station",c(-0.48612, 53.54914)
"BRGHBUS","LRR","LONDON ROAD DITCHLING RISE",c(-0.13816, 50.83597)
"BRGHLRD","LRB","London Road (Brighton) Rail Station",c(-0.1365, 50.83666)
